   ,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_amount,Ad_Date,Location,Device,Keyword,CTR,CPC,Conversion Rate,Cost per conversion,Return on AD spend
A1010,Data Analytics Course,101,5399,$236.79,20,6,5.90%,"$1,900",14/11/2024,Hyderabad,Desktop,Learn Data Analytics,1.87%,$2.34,5.94%,$39.47,8.02
A1011,Data Analytics Course,101,3613,$208.12,24,5,5.00%,"$1,130",22/11/2024,Hyderabad,Desktop,Online Data Analytics,2.80%,$2.06,4.95%,$41.62,5.43
A1012,Data Analytics Course,125,3259,$191.30,18,3,2.40%,"$1,959",27/11/2024,Hyderabad,Desktop,Data Analytics Online,3.84%,$1.53,2.40%,$63.77,10.24
A1013,Data Analytics Course,196,3742,$207.46,10,7,3.80%,"$1,623",12/11/2024,Hyderabad,Mobile,Data Analytics Training,5.24%,$1.06,3.57%,$29.64,7.82
A1014,Data Analytics Course,181,4311,$185.09,11,9,5.00%,"$1,538",11/4/2024,Hyderabad,Desktop,Data Analytics Training,4.20%,$1.02,4.97%,$20.57,8.31
A1015,Data Analytics Course,102,5461,$201.69,22,8,7.80%,"$1,755",29/11/2024,Hyderabad,Desktop,Data Analytics Course,1.87%,$1.98,7.84%,$25.21,8.70
A1016,Data Analytics Course,193,5159,$215.57,15,9,4.70%,"$1,614",11/10/2024,Hyderabad,Mobile,Learn Data Analytics,3.74%,$1.12,4.66%,$23.95,7.49
A1017,Data Analytics Course,149,4431,$207.40,19,9,6.00%,"$1,693",12/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.36%,$1.39,6.04%,$23.04,8.16
A1018,Data Analytics Course,150,3113,$217.41,20,5,0.00%,"$1,785",11/7/2024,Hyderabad,Mobile,Analytics For Data,4.82%,$1.45,3.33%,$43.48,8.21
A1019,Data Analytics Course,145,5278,$215.57,25,6,4.10%,"$1,516",11/5/2024,Hyderabad,Desktop,Data Analytics Course,2.75%,$1.49,4.14%,$35.93,7.03
A1020,Data Analytics Course,184,4143,$223.30,10,10,4.40%,"$1,735",21/11/2024,Hyderabad,Tablet,Learn Data Analytics,4.44%,$1.21,5.43%,$22.33,7.77
A1021,Data Analytics Course,171,4154,$184.23,30,7,4.10%,"$1,803",11/8/2024,Hyderabad,Tablet,Data Analytics Online,4.12%,$1.08,4.09%,$26.32,9.79
A1022,Data Analytics Course,122,5187,$211.24,27,6,4.90%,"$1,322",20/11/2024,Hyderabad,Desktop,Online Data Analytics,2.35%,$1.73,4.92%,$35.21,6.26
A1023,Data Analytics Course,188,5798,$230.17,28,5,4.70%,"$1,452",30/11/2024,Hyderabad,Tablet,Data Analytics Course,3.24%,$1.22,2.66%,$46.03,6.31
A1024,Data Analytics Course,87,3718,$215.57,12,3,3.40%,"$1,652",20/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.34%,$2.48,3.45%,$71.86,7.66
A1025,Data Analytics Course,88,3349,$181.92,22,8,9.10%,"$1,456",20/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.63%,$2.07,9.09%,$22.74,8.00
A1026,Data Analytics Course,119,5323,$205.92,17,10,6.00%,"$1,656",11/2/2024,Hyderabad,Desktop,Online Data Analytics,2.24%,$1.73,8.40%,$20.59,8.04
A1027,Data Analytics Course,0,5286,$234.89,22,10,0.00%,"$1,688",21/11/2024,Hyderabad,Desktop,Data Analytics Training,0.00%,$0.00,0.00%,$23.49,7.19
A1028,Data Analytics Course,128,5469,$188.49,16,3,0.00%,"$1,783",23/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.34%,$1.47,2.34%,$62.83,9.46
A1029,Data Analytics Course,86,3351,$237.75,21,9,10.50%,"$1,975",13/11/2024,Hyderabad,Mobile,Analytics For Data,2.57%,$2.76,10.47%,$26.42,8.31
A1030,Data Analytics Course,188,4834,$213.58,15,4,2.10%,"$1,590",11/8/2024,Hyderabad,Tablet,Online Data Analytics,3.89%,$1.14,2.13%,$53.40,7.44
A1031,Data Analytics Course,113,5065,$212.37,11,5,0.00%,"$1,111",22/11/2024,Hyderabad,Desktop,Online Data Analytics,2.23%,$1.88,4.42%,$42.47,5.23
A1032,Data Analytics Course,0,3872,$244.38,20,4,0.00%,"$1,041",12/11/2024,Hyderabad,Tablet,Data Analytics Online,0.00%,$0.00,0.00%,$61.10,4.26
A1033,Data Analytics Course,176,5509,$234.59,19,7,5.40%,"$1,710",11/3/2024,Hyderabad,Tablet,Data Analytics Course,3.19%,$1.33,3.98%,$33.51,7.29
A1035,Data Analytics Course,104,5275,$236.48,16,9,3.10%,"$1,824",1/11/2024,Hyderabad,Desktop,Data Analytics Training,1.97%,$2.27,8.65%,$26.28,7.71
A1036,Data Analytics Course,146,5939,$242.90,11,8,3.50%,"$1,833",11/7/2024,Hyderabad,Desktop,Data Analytics Training,2.46%,$1.66,5.48%,$30.36,7.55
A1037,Data Analytics Course,123,5131,$215.57,19,5,4.10%,"$1,307",9/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.40%,$1.75,4.07%,$43.11,6.06
A1038,Data Analytics Course,90,5786,$197.55,11,6,4.30%,"$1,704",16/11/2024,Hyderabad,Mobile,Online Data Analytics,1.56%,$2.20,6.67%,$32.93,8.63
A1039,Data Analytics Course,171,4304,$192.61,17,10,5.80%,"$1,427",26/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.97%,$1.13,5.85%,$19.26,7.41
A1040,Data Analytics Course,94,5549,$231.23,25,9,9.60%,"$1,849",11/12/2024,Hyderabad,Mobile,Data Analytics Training,1.69%,$2.46,9.57%,$25.69,8.00
A1041,Data Analytics Course,112,4271,$196.07,27,6,0.00%,"$1,209",14/11/2024,Hyderabad,Desktop,Data Analytics Online,2.62%,$1.75,5.36%,$32.68,6.17
A1042,Data Analytics Course,113,4418,$191.55,27,10,0.00%,"$1,634",11/9/2024,Hyderabad,Mobile,Data Analytics Course,2.56%,$1.70,8.85%,$19.16,8.53
A1043,Data Analytics Course,145,3721,$180.95,21,7,4.80%,"$1,960",29/11/2024,Hyderabad,Desktop,Data Analytics Online,3.90%,$1.25,4.83%,$25.85,10.83
A1044,Data Analytics Course,197,5783,$204.46,23,6,0.00%,"$1,729",1/11/2024,Hyderabad,Tablet,Data Analytics Training,3.41%,$1.04,3.05%,$34.08,8.46
A1045,Data Analytics Course,109,4866,$236.78,27,5,0.00%,"$1,585",15/11/2024,Hyderabad,Mobile,Online Data Analytics,2.24%,$2.17,4.59%,$47.36,6.69
A1046,Data Analytics Course,188,5857,$222.98,20,4,4.80%,"$1,303",11/11/2024,Hyderabad,Desktop,Data Analytics Training,3.21%,$1.19,2.13%,$55.75,5.84
A1047,Data Analytics Course,142,5103,$234.10,24,3,2.10%,"$1,835",11/8/2024,Hyderabad,Mobile,Analytics For Data,2.78%,$1.65,2.11%,$78.03,7.84
A1048,Data Analytics Course,168,4653,$240.84,27,9,5.40%,"$1,367",24/11/2024,Hyderabad,Mobile,Online Data Analytics,3.61%,$1.43,5.36%,$26.76,5.68
A1049,Data Analytics Course,110,3524,$248.86,19,10,9.10%,"$1,524",21/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.12%,$2.26,9.09%,$24.89,6.12
A1050,Data Analytics Course,192,5938,$182.84,26,5,3.90%,"$1,080",11/12/2024,Hyderabad,Mobile,Analytics For Data,3.23%,$0.95,2.60%,$36.57,5.91
A1051,Data Analytics Course,101,3942,$206.62,16,5,5.00%,"$1,746",24/11/2024,Hyderabad,Tablet,Analytics For Data,2.56%,$2.05,4.95%,$41.32,8.45
A1052,Data Analytics Course,157,3315,$189.56,15,10,6.40%,"$1,026",25/11/2024,Hyderabad,Mobile,Online Data Analytics,4.74%,$1.21,6.37%,$18.96,5.41
A1053,Data Analytics Course,113,4945,$187.66,15,10,0.00%,"$1,564",26/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.29%,$1.66,8.85%,$18.77,8.33
A1054,Data Analytics Course,96,3166,$196.15,29,7,7.30%,"$1,902",26/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.03%,$2.04,7.29%,$28.02,9.70
A1055,Data Analytics Course,125,4223,$183.68,15,6,0.00%,"$1,267",11/5/2024,Hyderabad,Desktop,Data Analytics Online,2.96%,$1.47,4.80%,$30.61,6.90
A1056,Data Analytics Course,104,4798,$210.10,18,3,0.00%,"$1,340",21/11/2024,Hyderabad,Desktop,Analytics For Data,2.17%,$2.02,2.88%,$70.03,6.38
A1057,Data Analytics Course,194,5655,$208.58,13,6,3.10%,"$1,692",16/11/2024,Hyderabad,Mobile,Data Analytics Training,3.43%,$1.08,3.09%,$34.76,8.11
A1058,Data Analytics Course,144,5140,$219.48,19,8,4.70%,"$1,054",18/11/2024,Hyderabad,Desktop,Data Analytics Online,2.80%,$1.52,5.56%,$27.44,4.80
A1060,Data Analytics Course,166,5223,$189.76,18,7,4.20%,"$1,219",16/11/2024,Hyderabad,Tablet,Data Analytics Course,3.18%,$1.14,4.22%,$27.11,6.42
A1061,Data Analytics Course,166,5089,$215.57,26,7,4.20%,"$1,946",11/11/2024,Hyderabad,Tablet,Analytics For Data,3.26%,$1.30,4.22%,$30.80,9.03
A1062,Data Analytics Course,118,5016,$204.31,19,9,4.50%,"$1,833",11/8/2024,Hyderabad,Desktop,Analytics For Data,2.35%,$1.73,7.63%,$22.70,8.97
A1063,Data Analytics Course,185,3617,$222.32,24,7,3.80%,"$1,963",23/11/2024,Hyderabad,Mobile,Data Analytics Course,5.11%,$1.20,3.78%,$31.76,8.83
A1064,Data Analytics Course,116,3764,$232.03,28,10,8.60%,"$1,348",20/11/2024,Hyderabad,Tablet,Data Analytics Course,3.08%,$2.00,8.62%,$23.20,5.81
A1065,Data Analytics Course,99,4489,$183.73,15,6,6.10%,"$1,264",11/5/2024,Hyderabad,Desktop,Online Data Analytics,2.21%,$1.86,6.06%,$30.62,6.88
A1066,Data Analytics Course,172,4441,$221.18,14,8,4.70%,"$1,771",27/11/2024,Hyderabad,Mobile,Analytics For Data,3.87%,$1.29,4.65%,$27.65,8.01
A1067,Data Analytics Course,138,5751,$199.11,26,9,5.20%,"$1,337",11/10/2024,Hyderabad,Desktop,Data Analytics Online,2.40%,$1.44,6.52%,$22.12,6.71
A1068,Data Analytics Course,84,4036,$234.22,23,10,11.90%,"$1,287",4/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.08%,$2.79,11.90%,$23.42,5.49
A1069,Data Analytics Course,124,4942,$240.59,18,3,2.40%,"$1,922",16/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.51%,$1.94,2.42%,$80.20,7.99
A1070,Data Analytics Course,122,4989,$215.48,12,5,4.10%,"$1,975",11/6/2024,Hyderabad,Mobile,Data Analytics Online,2.45%,$1.77,4.10%,$43.10,9.17
A1071,Data Analytics Course,180,3006,$228.14,22,7,3.90%,"$1,556",11/4/2024,Hyderabad,Tablet,Learn Data Analytics,5.99%,$1.27,3.89%,$32.59,6.82
A1073,Data Analytics Course,164,3734,$225.39,27,8,4.00%,"$1,728",12/11/2024,Hyderabad,Tablet,Learn Data Analytics,4.39%,$1.37,4.88%,$28.17,7.67
A1074,Data Analytics Course,150,4621,$246.30,15,6,4.90%,"$1,554",11/9/2024,Hyderabad,Desktop,Data Analytics Online,3.25%,$1.64,4.00%,$41.05,6.31
A1075,Data Analytics Course,97,3212,$212.55,27,10,10.30%,"$1,994",23/11/2024,Hyderabad,Desktop,Analytics For Data,3.02%,$2.19,10.31%,$21.26,9.38
A1076,Data Analytics Course,128,4225,$228.24,30,4,3.10%,"$1,618",11/8/2024,Hyderabad,Mobile,Learn Data Analytics,3.03%,$1.78,3.13%,$57.06,7.09
A1077,Data Analytics Course,99,4779,$233.78,26,10,10.10%,"$1,086",11/5/2024,Hyderabad,Desktop,Online Data Analytics,2.07%,$2.36,10.10%,$23.38,4.65
A1078,Data Analytics Course,86,5352,$234.05,11,5,5.80%,"$1,364",11/9/2024,Hyderabad,Tablet,Online Data Analytics,1.61%,$2.72,5.81%,$46.81,5.83
A1079,Data Analytics Course,118,5405,$187.28,25,7,5.80%,"$1,836",11/5/2024,Hyderabad,Tablet,Analytics For Data,2.18%,$1.59,5.93%,$26.75,9.80
A1080,Data Analytics Course,127,5430,$199.13,14,6,4.70%,"$1,932",25/11/2024,Hyderabad,Mobile,Analytics For Data,2.34%,$1.57,4.72%,$33.19,9.70
A1081,Data Analytics Course,83,4808,$241.35,20,7,8.40%,"$1,038",30/11/2024,Hyderabad,Mobile,Learn Data Analytics,1.73%,$2.91,8.43%,$34.48,4.30
A1083,Data Analytics Course,168,4683,$215.28,30,8,4.80%,"$1,327",28/11/2024,Hyderabad,Mobile,Data Analytics Online,3.59%,$1.28,4.76%,$26.91,6.16
A1084,Data Analytics Course,112,5814,$227.38,11,8,7.10%,"$1,467",11/3/2024,Hyderabad,Tablet,Analytics For Data,1.93%,$2.03,7.14%,$28.42,6.45
A1085,Data Analytics Course,123,3292,$233.20,28,6,4.90%,"$1,174",19/11/2024,Hyderabad,Desktop,Data Analytics Training,3.74%,$1.90,4.88%,$38.87,5.03
A1086,Data Analytics Course,174,4305,$206.02,20,3,3.40%,"$1,057",23/11/2024,Hyderabad,Desktop,Learn Data Analytics,4.04%,$1.18,1.72%,$68.67,5.13
A1087,Data Analytics Course,143,4368,$215.57,27,7,4.90%,"$1,199",3/11/2024,Hyderabad,Tablet,Analytics For Data,3.27%,$1.51,4.90%,$30.80,5.56
A1088,Data Analytics Course,195,5935,$209.68,23,9,4.60%,"$1,966",11/7/2024,Hyderabad,Tablet,Online Data Analytics,3.29%,$1.08,4.62%,$23.30,9.38
A1089,Data Analytics Course,176,5847,$241.04,13,6,3.40%,"$1,194",11/2/2024,Hyderabad,Desktop,Online Data Analytics,3.01%,$1.37,3.41%,$40.17,4.95
A1090,Data Analytics Course,141,4851,$227.39,28,5,0.00%,"$1,821",15/11/2024,Hyderabad,Desktop,Analytics For Data,2.91%,$1.61,3.55%,$45.48,8.01
A1091,Data Analytics Course,108,4710,$204.16,19,10,9.30%,"$1,731",20/11/2024,Hyderabad,Tablet,Data Analytics Online,2.29%,$1.89,9.26%,$20.42,8.48
A1092,Data Analytics Course,112,3345,$215.57,11,6,4.70%,"$1,859",23/11/2024,Hyderabad,Tablet,Analytics For Data,3.35%,$1.92,5.36%,$35.93,8.62
A1093,Data Analytics Course,0,5903,$184.41,23,9,0.00%,"$1,188",20/11/2024,Hyderabad,Tablet,Online Data Analytics,0.00%,$0.00,0.00%,$20.49,6.44
A1094,Data Analytics Course,145,5004,$216.45,22,5,3.40%,"$1,496",11/1/2024,Hyderabad,Tablet,Data Analytics Online,2.90%,$1.49,3.45%,$43.29,6.91
A1095,Data Analytics Course,183,3947,$197.30,15,8,4.40%,"$1,645",14/11/2024,Hyderabad,Desktop,Data Analytics Training,4.64%,$1.08,4.37%,$24.66,8.34
A1096,Data Analytics Course,113,3690,$229.42,20,5,4.40%,"$1,915",28/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.06%,$2.03,4.42%,$45.88,8.35
A1097,Data Analytics Course,101,5943,$187.32,27,6,5.90%,"$1,614",15/11/2024,Hyderabad,Tablet,Data Analytics Online,1.70%,$1.85,5.94%,$31.22,8.62
A1098,Data Analytics Course,189,5357,$222.50,24,3,5.00%,"$1,839",25/11/2024,Hyderabad,Tablet,Data Analytics Course,3.53%,$1.18,1.59%,$74.17,8.27
A1099,Data Analytics Course,154,3596,$236.14,30,9,5.80%,"$1,036",11/6/2024,Hyderabad,Tablet,Online Data Analytics,4.28%,$1.53,5.84%,$26.24,4.39
A1100,Data Analytics Course,179,5162,$246.76,16,5,5.00%,"$1,052",29/11/2024,Hyderabad,Desktop,Online Data Analytics,3.47%,$1.38,2.79%,$49.35,4.26
A1101,Data Analytics Course,148,3747,$244.41,18,8,5.40%,"$1,092",17/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.95%,$1.65,5.41%,$30.55,4.47
A1102,Data Analytics Course,177,4822,$197.03,26,9,5.10%,"$1,909",11/4/2024,Hyderabad,Mobile,Online Data Analytics,3.67%,$1.11,5.08%,$21.89,9.69
A1104,Data Analytics Course,89,3594,$215.57,14,6,6.70%,"$1,026",15/11/2024,Hyderabad,Tablet,Data Analytics Course,2.48%,$2.42,6.74%,$35.93,4.76
A1105,Data Analytics Course,146,4765,$230.22,23,5,3.40%,"$1,944",28/11/2024,Hyderabad,Tablet,Analytics For Data,3.06%,$1.58,3.42%,$46.04,8.44
A1107,Data Analytics Course,159,5127,$197.16,21,4,2.50%,"$1,867",11/3/2024,Hyderabad,Tablet,Learn Data Analytics,3.10%,$1.24,2.52%,$49.29,9.47
A1108,Data Analytics Course,144,5674,$235.36,12,3,2.10%,"$1,505",22/11/2024,Hyderabad,Desktop,Analytics For Data,2.54%,$1.63,2.08%,$78.45,6.39
A1109,Data Analytics Course,122,3793,$237.22,19,8,6.60%,"$1,842",20/11/2024,Hyderabad,Tablet,Online Data Analytics,3.22%,$1.94,6.56%,$29.65,7.76
A1110,Data Analytics Course,112,4315,$235.33,28,9,8.00%,"$1,116",11/8/2024,Hyderabad,Mobile,Data Analytics Course,2.60%,$2.10,8.04%,$26.15,4.74
A1111,Data Analytics Course,174,4704,$192.32,21,10,4.90%,"$1,501",24/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.70%,$1.11,5.75%,$19.23,7.80
A1112,Data Analytics Course,168,3349,$235.60,23,9,5.40%,"$1,894",11/9/2024,Hyderabad,Mobile,Online Data Analytics,5.02%,$1.40,5.36%,$26.18,8.04
A1113,Data Analytics Course,173,3501,$223.90,28,10,4.40%,"$1,179",25/11/2024,Hyderabad,Mobile,Data Analytics Course,4.94%,$1.29,5.78%,$22.39,5.27
A1114,Data Analytics Course,91,4518.5,$203.52,0,9,9.90%,"$1,838",20/11/2024,Hyderabad,Desktop,Data Analytics Course,2.01%,$2.24,9.89%,$22.61,9.03
A1115,Data Analytics Course,140,5405,$195.69,21,8,0.00%,"$1,094",21/11/2024,Hyderabad,Desktop,Data Analytics Training,2.59%,$1.40,5.71%,$24.46,5.59
A1116,Data Analytics Course,93,3425,$229.76,26,4,4.30%,"$1,344",24/11/2024,Hyderabad,Mobile,Online Data Analytics,2.72%,$2.47,4.30%,$57.44,5.85
A1117,Data Analytics Course,114,5263,$189.13,23,5,4.40%,"$1,434",5/11/2024,Hyderabad,Mobile,Data Analytics Course,2.17%,$1.66,4.39%,$37.83,7.58
A1118,Data Analytics Course,172,3889,$215.57,21,10,0.00%,"$1,766",16/11/2024,Hyderabad,Tablet,Online Data Analytics,4.42%,$1.25,5.81%,$21.56,8.19
A1119,Data Analytics Course,188,3327,$193.76,24,6,4.70%,"$1,220",3/11/2024,Hyderabad,Tablet,Online Data Analytics,5.65%,$1.03,3.19%,$32.29,6.30
A1120,Data Analytics Course,117,4518.5,$214.18,29,4,3.40%,"$1,348",23/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.59%,$1.83,3.42%,$53.55,6.29
A1121,Data Analytics Course,113,5471,$215.57,27,9,3.80%,"$1,123",23/11/2024,Hyderabad,Mobile,Analytics For Data,2.07%,$1.91,7.96%,$23.95,5.21
A1122,Data Analytics Course,109,3550,$240.33,14,8,7.30%,"$1,982",24/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.07%,$2.20,7.34%,$30.04,8.25
A1123,Data Analytics Course,174,3178,$225.67,18,10,5.70%,"$1,140",20/11/2024,Hyderabad,Desktop,Data Analytics Online,5.48%,$1.30,5.75%,$22.57,5.05
A1124,Data Analytics Course,96,4673,$192.88,24,5,5.20%,"$1,962",11/10/2024,Hyderabad,Mobile,Learn Data Analytics,2.05%,$2.01,5.21%,$38.58,10.17
A1125,Data Analytics Course,110,4254,$187.87,11,4,0.00%,"$1,172",11/4/2024,Hyderabad,Mobile,Data Analytics Training,2.59%,$1.71,3.64%,$46.97,6.24
A1126,Data Analytics Course,163,3658,$237.63,23,7,4.30%,"$1,699",23/11/2024,Hyderabad,Tablet,Online Data Analytics,4.46%,$1.46,4.29%,$33.95,7.15
A1127,Data Analytics Course,161,5319,$235.98,13,4,2.50%,"$1,423",18/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.03%,$1.47,2.48%,$59.00,6.03
A1128,Data Analytics Course,195,5278,$193.49,30,7,4.70%,"$1,456",11/4/2024,Hyderabad,Mobile,Data Analytics Course,3.69%,$0.99,3.59%,$27.64,7.52
A1129,Data Analytics Course,84,3755,$218.88,14,9,4.70%,"$1,299",11/5/2024,Hyderabad,Tablet,Analytics For Data,2.24%,$2.61,10.71%,$24.32,5.93
A1130,Data Analytics Course,113,4580,$194.82,11,6,5.90%,"$1,248",28/11/2024,Hyderabad,Tablet,Data Analytics Course,2.47%,$1.72,5.31%,$32.47,6.41
A1131,Data Analytics Course,117,3809,$225.14,12,5,3.20%,"$1,495",11/9/2024,Hyderabad,Desktop,Data Analytics Training,3.07%,$1.92,4.27%,$45.03,6.64
A1132,Data Analytics Course,135,5118,$219.99,27,6,4.40%,"$1,089",20/11/2024,Hyderabad,Mobile,Online Data Analytics,2.64%,$1.63,4.44%,$36.67,4.95
A1133,Data Analytics Course,92,5766,$186.14,28,7,7.60%,"$1,013",27/11/2024,Hyderabad,Tablet,Data Analytics Training,1.60%,$2.02,7.61%,$26.59,5.44
A1135,Data Analytics Course,101,4724,$228.38,13,7,3.40%,"$1,243",20/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.14%,$2.26,6.93%,$32.63,5.44
A1136,Data Analytics Course,111,5895,$205.25,29,4,3.60%,"$1,693",11/4/2024,Hyderabad,Mobile,Data Analytics Course,1.88%,$1.85,3.60%,$51.31,8.25
A1138,Data Analytics Course,99,3169,$237.68,21,6,0.00%,"$1,509",22/11/2024,Hyderabad,Mobile,Online Data Analytics,3.12%,$2.40,6.06%,$39.61,6.35
A1139,Data Analytics Course,154,4535,$229.29,11,3,1.90%,"$1,434",11/1/2024,Hyderabad,Tablet,Data Analytics Training,3.40%,$1.49,1.95%,$76.43,6.25
A1140,Data Analytics Course,129,3849,$249.29,22,10,7.80%,"$1,767",11/11/2024,Hyderabad,Desktop,Analytics For Data,3.35%,$1.93,7.75%,$24.93,7.09
A1141,Data Analytics Course,0,4259,$182.98,10,10,3.10%,"$1,048",16/11/2024,Hyderabad,Mobile,Analytics For Data,0.00%,$0.00,0.00%,$18.30,5.73
A1142,Data Analytics Course,143,3628,$215.57,18,9,6.30%,"$1,566",17/11/2024,Hyderabad,Tablet,Data Analytics Course,3.94%,$1.51,6.29%,$23.95,7.26
A1143,Data Analytics Course,80,3269,$215.57,12,4,5.00%,"$1,753",23/11/2024,Hyderabad,Desktop,Data Analytics Online,2.45%,$2.69,5.00%,$53.89,8.13
A1144,Data Analytics Course,134,3724,$188.02,26,9,4.70%,"$1,891",11/7/2024,Hyderabad,Desktop,Online Data Analytics,3.60%,$1.40,6.72%,$20.89,10.06
A1145,Data Analytics Course,174,4838,$242.35,21,3,1.70%,"$1,599",22/11/2024,Hyderabad,Desktop,Data Analytics Online,3.60%,$1.39,1.72%,$80.78,6.60
A1146,Data Analytics Course,196,4524,$192.01,15,8,4.10%,"$1,048",13/11/2024,Hyderabad,Desktop,Data Analytics Course,4.33%,$0.98,4.08%,$24.00,5.46
A1147,Data Analytics Course,194,4694,$228.15,17,7,3.60%,"$1,874",14/11/2024,Hyderabad,Tablet,Learn Data Analytics,4.13%,$1.18,3.61%,$32.59,8.21
A1148,Data Analytics Course,180,4326,$221.67,13,0,0.00%,"$1,427",6/11/2024,Hyderabad,Tablet,Online Data Analytics,4.16%,$1.23,0.00%,$0.00,6.44
A1149,Data Analytics Course,100,4235,$222.61,10,8,5.10%,"$1,814",1/11/2024,Hyderabad,Desktop,Data Analytics Training,2.36%,$2.23,8.00%,$27.83,8.15
A1150,Data Analytics Course,153,4367,$184.51,29,9,5.90%,"$1,507",13/11/2024,Hyderabad,Mobile,Analytics For Data,3.50%,$1.21,5.88%,$20.50,8.17
A1151,Data Analytics Course,110,3748,$198.68,24,9,8.20%,"$1,041",5/11/2024,Hyderabad,Tablet,Data Analytics Training,2.93%,$1.81,8.18%,$22.08,5.24
A1152,Data Analytics Course,116,3901,$215.57,21,4,3.40%,"$1,483",13/11/2024,Hyderabad,Tablet,Online Data Analytics,2.97%,$1.86,3.45%,$53.89,6.88
A1153,Data Analytics Course,156,3335,$236.98,29,7,4.50%,"$1,143",14/11/2024,Hyderabad,Desktop,Data Analytics Course,4.68%,$1.52,4.49%,$33.85,4.82
A1154,Data Analytics Course,177,5671,$210.74,19,6,5.80%,"$1,172",25/11/2024,Hyderabad,Tablet,Data Analytics Course,3.12%,$1.19,3.39%,$35.12,5.56
A1155,Data Analytics Course,89,3408,$214.78,25,9,10.10%,"$1,898",15/11/2024,Hyderabad,Mobile,Data Analytics Course,2.61%,$2.41,10.11%,$23.86,8.84
A1156,Data Analytics Course,155,4422,$183.96,14,8,3.70%,"$1,143",15/11/2024,Hyderabad,Mobile,Analytics For Data,3.51%,$1.19,5.16%,$23.00,6.21
A1157,Data Analytics Course,123,3097,$190.55,20,8,6.50%,"$1,640",22/11/2024,Hyderabad,Tablet,Data Analytics Course,3.97%,$1.55,6.50%,$23.82,8.61
A1158,Data Analytics Course,102,3621,$244.82,10,5,4.90%,"$1,375",11/12/2024,Hyderabad,Mobile,Learn Data Analytics,2.82%,$2.40,4.90%,$48.96,5.62
A1159,Data Analytics Course,150,4806,$244.53,15,9,0.00%,"$1,602",7/11/2024,Hyderabad,Mobile,Data Analytics Online,3.12%,$1.63,6.00%,$27.17,6.55
A1161,Data Analytics Course,143,3901,$191.38,29,4,5.30%,"$1,786",24/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.67%,$1.34,2.80%,$47.85,9.33
